Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2023-01-02,2932.794189453125,2937.650164086702,2909.189397527533,2932.3895797849805,709547
2023-01-03,2977.66552734375,2985.4437794959777,2918.2713383650357,2924.296135819554,1245178
2023-01-04,2980.633056640625,2992.053454899718,2955.050003400902,2973.484221029113,1231668
2023-01-05,2977.4404296875,3001.0002109004563,2951.2277444426995,2994.6155903233216,1826057
2023-01-06,2887.92236328125,2968.8530692467866,2877.5362121079547,2967.4592187363287,2488376
2023-01-09,2985.39892578125,2991.738541892258,2896.5549480175173,2903.6139921160507,2885060
2023-01-10,2955.22998046875,2965.661138388901,2904.6034968845765,2953.9711460301814,3864655
2023-01-11,2993.26708984375,3011.9711192058594,2941.5163554119845,2958.556940867891,2720512
2023-01-12,2998.347900390625,3012.4207633052556,2981.442331005253,2993.5369316546853,2250391
2023-01-13,3034.496826171875,3038.4983560091237,2971.9553319355296,3006.0360632064353,1742837
2023-01-16,3066.225341796875,3083.6530407390187,3033.1172268351675,3050.544925777311,1843607
2023-01-17,3107.012451171875,3110.1394632983647,3054.2234929569645,3062.500521393162,1688475
2023-01-18,3117.681396484375,3135.1090986179565,3101.357253479184,3108.48469619976,2421189
2023-01-19,3102.138916015625,3114.9222389947813,3091.0108193863184,3108.484549100195,1585044
2023-01-20,3092.942138671875,3121.9575463467286,3086.0446139576375,3094.689421787962,1529349
2023-01-23,3140.580810546875,3144.35154713911,3086.044562341497,3115.8417787971057,1067916
2023-01-24,3160.26171875,3174.654462857429,3142.787990669495,3149.8694039858374,1387863
2023-01-25,3154.23779296875,3159.0660598724853,3131.4759632797122,3150.1453068799115,874110
2023-01-27,3137.0400390625,3169.1824569748724,3110.599529591221,3150.789059081809,1785879
2023-01-30,3157.824951171875,3180.632813128412,3113.5889568511743,3145.2715449050534,1953798
2023-01-31,3088.895751953125,3171.9420023718426,3081.8143374740634,3171.9420023718426,2820375
2023-02-01,3134.55712890625,3144.351523952907,3085.492647809887,3092.8500073277646,2205161
2023-02-02,3182.42578125,3190.3350325720744,3145.363262166592,3151.708894962381,1813847
2023-02-03,3202.56689453125,3222.523688679238,3175.528461741142,3222.523688679238,1804469
2023-02-06,3182.01171875,3194.151316116606,3160.767479490634,3194.151316116606,1138714
2023-02-07,3193.599609375,3212.4068130598766,3183.3451557440176,3190.242679677012,1455647
2023-02-08,3237.32958984375,3255.538871344196,3198.6574317945224,3198.6574317945224,1986946
2023-02-09,3256.413330078125,3262.6211020458163,3223.71901947586,3232.6397728051547,1655427
2023-02-10,3253.378173828125,3257.792634083155,3226.339745096551,3237.2379228015834,1187821
2023-02-13,3202.65869140625,3263.9088027055695,3194.3816614754664,3263.9088027055695,1087939
2023-02-14,3218.936767578125,3241.6985980328905,3214.246361188052,3223.4430603616947,1579818
2023-02-15,3237.835693359375,3242.7560170595057,3182.1956652731296,3206.888891516306,1429449
2023-02-16,3272.231689453125,3287.8200500995868,3243.675892783564,3243.8597818666217,1618931
2023-02-17,3219.902099609375,3254.619637461406,3209.64787029373,3242.89384653125,1061369
2023-02-20,3207.1650390625,3239.0775411980735,3195.8990822539604,3220.6841423269884,1296082
2023-02-21,3173.781005859375,3227.029806293947,3168.0330686566454,3213.326813814157,1139541
2023-02-22,3128.303466796875,3170.102422501116,3122.279583519376,3140.626954722956,1218430
2023-02-23,3139.569091796875,3175.068214566864,3134.2349615691996,3146.1906700493637,1441570
2023-02-24,3127.291748046875,3158.100692470088,3110.599827670895,3147.5705160729894,977592
2023-02-27,3064.202392578125,3117.681110007593,3049.6255341549195,3117.681110007593,1128022
2023-02-28,3046.728515625,3119.52029834111,3034.8186108063605,3061.1212597371414,4116217
2023-03-01,3113.72607421875,3116.761029539812,3048.7054626510703,3056.062821233637,1669307
2023-03-02,3054.637939453125,3099.1959069642853,3051.465122793596,3091.010933607377,1556538
2023-03-03,3073.675048828125,3088.25190836795,3063.5128747920126,3084.573228310335,1043190
2023-03-06,3100.989501953125,3131.4304454397543,3089.1716521742155,3091.8386054681678,1334132
2023-03-08,3118.048583984375,3123.1988249795963,3063.2824237877426,3093.769389644099,1844590
2023-03-09,3068.801025390625,3113.083047465499,3063.283005217865,3113.083047465499,1648500
2023-03-10,3063.42041015625,3069.1683469810705,3025.7139445854286,3046.7742953000575,1024404
2023-03-13,3018.310546875,3099.1036364238453,3009.159876386488,3065.25973960763,1901233
2023-03-14,2956.692626953125,3038.9570525672148,2951.5884142286423,3016.517197373872,2670334
2023-03-15,2941.932373046875,2998.4462760881806,2935.586739643008,2988.927601453564,1780522
2023-03-16,2929.1484375,2961.1529928060677,2917.1927295918367,2950.300843799058,1901060
2023-03-17,2923.90625,2962.6242139945566,2891.441861043725,2897.419714764076,6739966
2023-03-20,2890.79833984375,2915.031506138674,2846.4242687303476,2915.031506138674,2289468
2023-03-21,2856.586669921875,2903.1678589753687,2848.631390837733,2890.798344143033,1815297
2023-03-22,2879.302734375,2890.9824978748425,2856.586931436793,2878.612981910102,1123939
2023-03-23,2873.646728515625,2893.603746811064,2851.896623184191,2864.6799461628207,1372218
2023-03-24,2869.830322265625,2915.3539886499057,2856.4951068601285,2895.9488612483124,1329577
2023-03-27,2871.485595703125,2899.48950141767,2856.4949302682685,2883.165359430464,1524217
2023-03-28,2865.599609375,2896.546639011127,2860.3115069743058,2875.808035994818,1303530
2023-03-29,2886.751953125,2896.960379511943,2854.7476180791455,2877.6473103151966,1740616
